date,entry,exit,weekday,sunrise,weather_code,sunset,daylight_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,temperature_2m_min,temperature_2m_max,temperature_2m_mean,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,wind_speed_10m_max,wind_gusts_10m_max
2025-12-31,306256,306959,Wednesday,1767147013,3.0,1767181154,34156.383,0.0,0.0,0.0,0.0,15.259998,26.42,19.287498,11.919991,19.712599,7.384384,6.454433,9.619101
2025-12-30,306505,309043,Tuesday,1767060602,3.0,1767094710,34121.734,0.0,0.0,0.0,0.0,14.540001,25.61,20.88875,13.829126,19.531256,6.8123817,7.436133,10.5139
2025-12-29,298985,301361,Monday,1766974188,3.0,1767008266,34090.61,0.0,0.0,0.0,0.0,15.799999,25.61,19.325,12.197193,18.389698,8.208355,6.7007394,12.079801
2025-12-28,166325,167910,Sunday,1766887772,3.0,1766921824,34063.04,0.0,0.0,0.0,0.0,14.18,24.98,20.952501,13.6015,17.9857,6.5901375,5.8129725,10.0665
2025-12-27,191726,193291,Saturday,1766801353,3.0,1766835383,34039.03,0.0,0.0,0.0,0.0,17.96,24.08,22.50875,15.455135,17.9775,10.623667,6.4563713,9.8428
2025-12-26,188853,190152,Friday,1766714932,3.0,1766748944,34018.6,0.0,0.0,0.0,0.0,11.119999,27.05,18.098751,10.719412,20.835619,3.2947273,6.2725816,10.290199
2025-12-25,76263,76775,Thursday,1766628510,3.0,1766662505,34001.76,0.0,0.0,0.0,0.0,19.58,25.43,23.243752,16.746443,20.046732,12.6544,5.0580444,7.8295
2025-12-24,182354,183601,Wednesday,1766542085,3.0,1766576069,33988.53,0.0,0.0,0.0,0.0,15.890001,22.37,20.930002,14.791752,16.315052,9.045553,3.7331767,7.6058
2025-12-23,322941,324674,Tuesday,1766455658,71.0,1766489634,33978.91,0.003937008,0.0,0.027559055,1.0,12.200001,29.39,18.72875,11.998245,23.382683,5.124279,6.8237667,9.1717
2025-12-22,330491,331813,Monday,1766369229,73.0,1766403201,33972.914,0.122047216,0.0,0.8543308,16.0,26.24,37.4,30.807499,23.302998,27.977486,20.018425,11.248573,18.119701
2025-12-21,193282,194811,Sunday,1766282799,3.0,1766316770,33970.543,0.0,0.0,0.0,0.0,23.720001,33.17,29.03,21.725643,26.13775,15.158176,7.9232125,10.9613
2025-12-20,272567,274315,Saturday,1766196367,3.0,1766230340,33971.81,0.0,0.0,0.0,0.0,15.799999,32.72,24.563751,17.413261,25.326078,8.222944,4.431858,9.395399
2025-12-19,399566,400322,Friday,1766109933,3.0,1766143913,33976.707,0.0,0.0,0.0,0.0,16.79,37.4,27.035,18.879597,28.98015,8.722309,7.969656,11.4087
2025-12-18,496755,498017,Thursday,1766023498,3.0,1766057488,33985.242,0.0,0.0,0.0,0.0,21.74,41.809998,30.32375,22.47492,35.19025,14.188152,9.136851,12.5272
2025-12-17,503976,504328,Wednesday,1765937062,3.0,1765971065,33997.414,0.0,0.0,0.0,0.0,20.029999,37.04,27.7025,20.33894,29.330982,12.188011,6.2725816,8.7243
2025-12-16,508753,510230,Tuesday,1765850624,3.0,1765884645,34013.223,0.0,0.0,0.0,0.0,17.15,36.32,26.314999,19.195648,29.30266,9.936031,3.9291043,8.2769
2025-12-15,408472,409787,Monday,1765764185,3.0,1765798227,34032.656,0.0,0.0,0.0,0.0,18.05,37.4,26.78375,19.402857,29.70496,10.3711815,6.65296,8.948
